katedra,zkratka,garanti,garantiUcitIdno,prednasejici,prednasejiciUcitIdno
KMA,LAL,"'RNDr. Martin Kuřil, Ph.D.'",264,"'PhDr. Magdalena Krátká, Ph.D.', 'RNDr. Martin Kuřil, Ph.D.', 'RNDr. Veronika Pitrová, PhD., Ph.D.'","425,264,5205"
KMA,LOG,'Ing. Vladimír Balach',4691,"'Ing. Vladimír Balach', 'Ing. Daniela Vysloužilová, Ph.D.'","4691,1569"
CNB,M100,"'Mgr. Jan Malý, Ph.D.'",280,"'doc. RNDr. Jaromír Hajer, CSc.', 'doc. RNDr. Eva Jozífková, Ph.D. et Ph.D.', 'Mgr. Jan Malý, Ph.D.'","278,2939,280"
KMA,M101,"'doc. PaedDr. Petr Eisenmann, CSc.'",261,"'doc. PaedDr. Petr Eisenmann, CSc.', 'PhDr. Magdalena Krátká, Ph.D.'","261,425"
KGEO,M101,"'RNDr. Silvie Rita Kučerová, Ph.D.'",3528,"'doc. RNDr. Jaroslav Koutský, Ph.D.', 'RNDr. Silvie Rita Kučerová, Ph.D.'","1644,3528"
CNB,M101,"'doc. RNDr. Jaroslav Pavlík, CSc.'",308,"'prof. Ing. Zdeňka Kolská, Ph.D.', 'Mgr. Jan Malý, Ph.D.', 'doc. RNDr. Jaroslav Pavlík, CSc.'","332,280,308"
KBI,M102,"'doc. RNDr. Jaromír Hajer, CSc.'",278,"'Mgr. Michaela Czerneková, Ph.D.', 'doc. RNDr. Jaromír Hajer, CSc.', 'Mgr. Michal Holec, Ph.D.'","8018,278,555"
KMA,M102,"'doc. RNDr. Bohumír Opic, DrSc.'",8438,"'doc. RNDr. Bohumír Opic, DrSc.', 'RNDr. Veronika Pitrová, PhD., Ph.D.'","8438,5205"
KGEO,M103,"'RNDr. Silvie Rita Kučerová, Ph.D.'",3528,"'RNDr. Silvie Rita Kučerová, Ph.D.', 'Mgr. Jiří Riezner, Ph.D.'","3528,3164"
KGEO,M104,"'RNDr. Silvie Rita Kučerová, Ph.D.'",3528,"'RNDr. Silvie Rita Kučerová, Ph.D.', 'doc. Mgr. Pavel Raška, Ph.D.'","3528,1434"
KCH,M104,"'doc. Ing. Jan Čermák, CSc.'",1064,"",
KCH,M106,'doc. Dr. Ing. Pavel Kuráň',7015,"'Ing. Sylvie Kříženecká, Ph.D.', 'doc. Dr. Ing. Pavel Kuráň'","921,7015"
KFY,M106,"'doc. RNDr. Jaroslav Pavlík, CSc.'",308,"'RNDr. Adéla Jagerová, Ph.D.', 'doc. RNDr. Jaroslav Pavlík, CSc.'","8739,308"
KGEO,M107,"'doc. RNDr. Jaroslav Koutský, Ph.D.'",1644,"'Ing. Miroslav Kopáček, Ph.D.'",5457
KCH,M112,"'doc. Ing. Jaromír Cais, Ph.D.'",4951,"'doc. Ing. Jaromír Cais, Ph.D.', 'Mgr. Klára Caisová, Ph.D.'","4951,6633"
KCH,M200,"'doc. RNDr. Vlastimil Dohnal, Ph.D.'",2227,"'doc. RNDr. Vlastimil Dohnal, Ph.D.', 'doc. Ing. Pavel Krystyník, Ph.D.'","2227,4273"
