katedra,zkratka,nazev
KBI,N048,Terén. metody studia populací a společ.
KBI,N050,Domestikace a domestikanti
KBI,N061,Odborná angličtina pro biology
KBI,N203,Didaktika biologie II
KBI,N302,Bioanalytické laboratoře
KBI,P330,Metody inventarizačního průzkumu
KBI,P424,Ekologie
KBI,P612,Mikrofluidní systémy a biolog. analýza
KBI,P617,Molekulární a buněčná biologie
KFY,AP03,"Met. analýz mat. 
využ. el. mikroskopie"
KFY,AP12,Seminář katedry
KFY,A130,Programming - Matlab
KFY,CM105,Selected parts of mathematics
KFY,CM202,Molecular physics of fluids
KFY,DF1,Didaktika fyziky I
KFY,KA25,Souvislá pedagogická praxe SŠ
KFY,KMATL,Programování - Matlab
KFY,KUMER,Úvod do teorie měření
KFY,K103,Programování A
KFY,K113,Programování - Matlab
KFY,K318,Cvičení z fyziky I
KFY,K418,Výp. a odh. met. pro fyz-chem. vl. látek
KFY,K510,PVK - Silnoproudá elektrotechnika
KFY,K617,Odborný seminář katedry A
KFY,K735,Dějiny fyziky
KFY,K822,Průběžná pedagogická praxe SŠ
KFY,K928,Souviská pedagogická praxe II - ZŠ
KFY,K933,Praktikum školních pokusů C - ZŠ
KFY,M207,Molekulární modelování
KFY,PD02,Molek. simulace chem. reagujících směsí
KFY,PD07,Seminář počítačové fyziky II
KFY,PD09,Aplikovaná statistická mechanika
KFY,PD306,Elektronová mikroskopie v biologii
KFY,PD56,Počítačové modelování nanostruktur
KFY,PMNS,Příprava mikro a nanostruktur
KFY,PM200,Vyb. par. z astrofyz. a fyziky kosm. pl.
KFY,P130,Programování - Matlab
KFY,P191,Biomechanika
KFY,P218,Praktika z difr. metod v mater. výzkumu
KFY,P239,Matematický aparát fyziky II
KFY,P325,Fyzikální vlastnosti tenkých vrstev
KFY,P368,Cvičení z fyziky I
KFY,P411,Kmity a vlny. Optika.
KFY,P420,Laboratorní praktikum II
KFY,P515,Laboratorní praktikum III
KFY,P702,Uhlíkaté nanomateriály
KFY,P750,Fyzika plazmatu a plazmové technologie
KFY,P753,Numerické metody hydrodynamiky
KFY,P922,Diplomový seminář
KFY,P924,Astronomie a astrofyzika I
KFY,P933,Praktikum školních pokusů C - ZŠ
KFY,P961,Fyzika pevných látek II
KFY,SZZN3,Teor. základy fyziky a chemie materiálů
KFY,UKVM,Úvod do kvantové mechaniky
