katedra,zkratka,nazev
KFY,P723,Praktikum školních pokusů A - SŠ
KFY,P736,Proseminář řešení fyzikálních úloh A ZŠ
KFY,P952,Seminář katedry I
KFY,P963,PVK - Modelování procesů v technice II
KFY,SZZN4,Pokr. met. přípravy a charakt. nanomater
KFY,SZZP2,Aplikovaná fyzika
KFY,VSV,Vývoj a stavba vesmíru
KFY,0173,Praktikum mikrovlnné techniky
KFY,0187,Biomechanika -Bc.
KFY,0212,Vybrané matematické metody ve fyzice
KFY,0214,Řešení obvodu RLC
KFY,AP,Astro praktikum
KFY,ATOM,Atomová a jaderná fyzika
KFY,E736,Physical Problems and Their Solutions
KFY,KA22,Didaktický seminář - SŠ
KFY,KMF1,Aplikace matematiky ve fyzice I
KFY,KPZOS,Počítačové zpracování obrazu a signálu
KFY,K122,Počítačové metody - Monte Carlo
KFY,K614,Fyzika v pokusech
KFY,K623,PVK - Fyzika v pokusech
KFY,K842,Měření a zpracování experimen. dat
KFY,M107,Molekulární simulace metodou Monte Carlo
KFY,M201,Poč. modelování částicových soustav II
KFY,NADP3,Diplomová práce III
KFY,NA10,Odborná angličtina
KFY,NA15,Měření a zpracování experimentálních dat
KFY,PD103,Anglický jazyk
KFY,PD39,Seminář počítačové fyziky III
KFY,P215,Počítačové modelování
KFY,P229,Diplomová práce I
KFY,P232,Úvod do výrobních technologií
KFY,P402,Numerická matematika II
KFY,P422,Vybrané partie z teoretické fyziky I
KFY,P429,Projektový seminář II
KFY,P430,Diplomová práce III
KFY,P602,Seminář katedry
KFY,P605,Praktikum počítačového modelování II
KFY,P823,Praktikum školních pokusů B - SŠ
KFY,P842,Využití ICT ve výuce fyziky
KFY,P853,Počítačová fyzika II
KFY,STR,Speciální teorie relativity
KFY,0197,VK-Asistentská praxe z fyziky
KFY,0227,Pokroč. met. difrakčního studia povrchů
KGEO,B310,Grafický design pro geografy
KGEO,B515,Metody sociologie a demografie
KGEO,B517,Geoinformatika
KGEO,E065,One-day Geographical Excursion D
KGEO,M100,Aplikovaná geografie
KGEO,PD304,International conference presentation I
KGEO,SZZ83,SZZ - Geografie
KGEO,0117,VK-Instituce v EU
KGEO,0118,VK-Německo ve střední Evropě a EU
KGEO,0130,VK - Konverzace němčiny pro geografy
KGEO,0132,VK- Seminář FG k SZZ
KGEO,B410,Virt. real. v územ. pl. a reg. rozvoji
KGEO,E202,Geographical Information Systems I
KGEO,M200,Socioekonomická a politická geografie EU
KGEO,M205,Světové velmoci I
KGEO,M216,Regionální exkurze - Česko
KGEO,0101,VK - Geografická exkurze v ČR (5 dní)
KGEO,0112,VK - Využití gis při botanickém mapování
KGEO,0160,Vybrané kapitoly z cestovního ruchu
KGEO,5DEMO,Demografie
KCH,BK319,Chemicko-inženýrský projekt
KCH,B300,Toxikologie a legislativa ČR a EU 1
KCH,B318,Exkurze
KCH,DP1,Diplomová práce I
KCH,KN06,Struktura hmoty a kvantová chemie
KCH,KN13,Školní pokusy
KCH,KN31,Fyzikální chemie NMgr.
KCH,K303,Preparativní anorganická chemie
KCH,K503,Úvod do biochemie
KCH,M209,"Str. chem., stereochemie, krystalografie"
KCH,NA03,Příprava nanočástic kovů a jejich oxidů
KCH,N004,Didaktický seminář II
KCH,N116,Průběžná pedagogická praxe - ZŠ
KCH,N314,Diplomový seminář I
KCH,ORCHE,Organická chemie
KCH,P107,Bezpečnost a hygiena práce
KCH,P302,Analytická chemie
KCH,P303,Chemická informatika
KCH,P313,Odpadové hospodářství I
KCH,P320,Analytická chemie I
KCH,P327,Analytická chemie
KCH,P509,PVK - Cvičení z analytické chemie B
KCH,P512,Bakalářská práce
KCH,P513,Odborná praxe
KCH,P533,Chemické inženýrství
KCH,P535,Laboratorní cvičení z fyzikální chemie
KCH,P536,Laboratorní cvičení z analytické chemie
KCH,0104,Výpočty v programu MAPLE
KCH,0108,Membránové separace
KCH,0110,Struktura atomů a molekul
KCH,0299,VK-Odborný seminář III
KCH,BK321,Odborná praxe
KCH,B208,Toxikologie
KCH,E105,Experimen. Methods: Laboratory Tutorials
KCH,KN229,Instrumentální analýza
KCH,KN40,Analytická chemie Nmgr.
KCH,K509,Laboratorní cvičení z biochemie
KCH,M115,Programování v chemii
KCH,M117,Makromolekulární chemie Nmgr.
KCH,M120,Zpracování vědeckých dat skript. jazyky
KCH,N206,Popularizace chemie
KCH,N212,Biochemie NMgr.
KCH,N214,Pokročilá instrumentální analýza I
KCH,N215,Mikrobiologie
KCH,N216,Toxikologie NMgr.
KCH,N224,Klinická biochemie a patobiochemie
KCH,N310,Souvislá pedagogická praxe I - ZŠ
KCH,P225,Matematika pro chemiky
KCH,P431,Fyzikální chemie
KCH,P540,Laboratorní cvičení z biochemie
KCH,P613,Biochemická cvičení
KCH,P622,Instrumentální analýza
KI,APC,Architektura počítačů
KI,BPS,Bezpečnostní aspekty podnik. systémů
KI,DI1,Didaktika informatiky I
KI,EAPR2,Algorithms and Programming II
KI,ELAI,Elements of AI
KI,ENME,Numerical Methods
KI,EPGL1,Programming I
KI,EPIN,Internet Programming
KI,EPYR,Python and R for Data Science
KI,IKT1,Informační a komunikační technologie I
KI,KIKT1,Informační a komunikační technologie I
KI,KPPT,Praktikum počítačových technologií
KI,KTZI,Teoretické základy informatiky
KI,KZEK,Základy ekonomie
KI,PCSY,Praktikum z číslicových systémů
KI,SZZ04,Teoretické základy informatiky
KI,ZPP,Základy počítačových sítí a protokolů
KI,0153,Praktikum z numerických metod
KI,0168,Hybridní Petriho sítě
KI,0175,Úvod do Event-B
KI,0194,Průmyslová automatizace v praxi
KI,ASO1,Analýza signálu a obrazu v praxi I
KI,DINB,Datová a informační bezpečnost
KI,EDSA,Algorithms and Data Structures
KI,EOPT,Optimization
KI,KAOS,Administrace operačních systémů
KI,KDHW,Dependabilita hardwarových systémů
KI,KFIS,Projektové řízení a firemní IS
KI,KPAP,Průmyslová automatizace v praxi
KI,KROB,Práce s robotickými stavebnicemi
KI,KSPL,Speciální programovací jazyky
KI,MAI,Matematika pro informatiky
KI,PRIZ,Projektové řízení
KI,PYT,Programování - Python
KI,ROB,Práce s robotickými stavebnicemi
KI,UDD,Úvod do didaktiky informatiky
KI,VGD,Videoherní design
KI,XBP,Bakalářská práce z informatiky
KI,ZEK,Základy ekonomie
KI,0127,CCNA 3: Scaling Networks
KI,0131,Manažerský excel
KI,0184,Data mining - pokročilé metody
KMA,CAL1,Matematická analýza I
KMA,E114,Geometry
KMA,KCAL1,Matematická analýza I
KMA,KCA1,Matematická analýza I
KMA,KUSW,Úvod do matematického softwaru
KMA,K116,Lineární algebra a geometrie I
KMA,K515,Úvod do teorie čísel
KMA,MAT1,Matematika I
KMA,MK103,Didaktika matematiky I
KMA,MK301,Diferenciální geometrie
KMA,MK307,Souvislá pedagogická praxe II - SŠ
KMA,PRM,Praktikum z matematiky pro chemiky
KMA,P101,Lineární algebra a geometrie I
KMA,P135,Úvod do matematiky
KMA,P517,PVK - Statistika na PC
KMA,P600,Bakalářská práce z matematiky
KMA,SZZ62,Obecná matematika
KMA,E102,Discrete Mathematics
KMA,E115,Introd. to the Didactics of Mathematics
KMA,KLTX,Úvod do Latexu
KMA,KRSPP,Reflektivní seminář pedagogické praxe
KMA,MK201,Didaktika matematiky II
KMA,M201,Didaktika matematiky II
KMA,M205,Souvislá pedagogická praxe I - ZŠ
KMA,M402,Aplikační úlohy ve vyučování matematice
KMA,PS3,Projektový seminář III
KMA,P228,Lineární algebra a geometrie II
KMA,P321,Diferenciální geometrie
KMA,P401,Matematická analýza II
KMA,P529,Parciální diferenciální rovnice
KMA,P600,Bakalářská práce z matematiky
KMA,RSPP,Reflektivní seminář pedagogické praxe
KPRF,ETAI,Ethics of AI
KPRF,SBS,Studium bez stresu
