garantiUcitIdno;katedra;zkratka;prednasejiciUcitIdno;jednotekPrednasek
4228;USE;KV525;7428;16
384;KVV;7717;4700;4
437;KH1;7930;;2
2787;KGI;3GIF3;8276,9902;2
1479;KZP;5NAPO;786;2
261;KGI;5MATA;5205;2
1553;KHI;D06M;;2
4293;KVP;052;6946,2803;4
3161;KGER;KN05;;1
4153;KPR;Q998;;2
2404;KPS;7951;3759,4410;2
4228;USE;KV125;7428;16
3830;KPAD;Q990;;4
1429;KGER;KN09;;1
308;UTM;DK006;;3
355;KHV;PHK30;;25
1050;KTV;Q054;;1
164;USE;KY053;4712;10
8910;KVV;PHK28;;2
437;KH1;7936;;2
1644;KGEO;M107;5457;2
229;KPR;79511;;2
355;KHV;PHK04;;4
8910;KVV;PH009;;2
3934;KDT;FU046;853;1
8488;CCV;G3312;7646;4
817;KHI;KBH54;;8
8282;KZP;5HPZP;9790;2
1528;USE;PTZ02;;26
370;KTV;Q153;39;1
2882;KF;TVF19;;10
384;KVV;7512;4700;1
1875;KPS;Q850;3759,4410;1
164;USE;S003P;;3
159;KPR;79512;;2
5833;KAPV;KBA14;;2
392;KV1;7911;;3
384;KVV;7714;3691;4
407;KPG;4238;;1
216;KAJ;7013;8520;1
216;KAJ;7013;8520;1
8535;UTM;KU302;7416;12
573;CCV;7319G;8398;4
1875;KPS;Q930;249;2
4228;USE;PV125;7428;2
322;KGER;KSDP1;;2
8910;KVV;PHK06;;3
5310;KSP;6SCP2;1632;2
3934;KDT;FU075;;2
355;KHV;PHK25;;40
322;KGER;KRS3;;2
158;UTM;DK008;;3
8910;KVV;PH017;;3
1983;KBI;P201;;3
3477;UTM;PX042;3758;2
2029;UTM;PD205;;3
723;UTM;PY241;;2
2434;KV1;7351;3168;4
8520;KAJ;E003;;1
1006;KBO;7356;630;4
370;KTV;Q353;39;3
363;KHV;PHK18;;35
3538;KPR;7934;;2
383;KDT;FU026;9900;1
3477;UTM;KU242;3758;14
573;KSSP;Q319;336;4
853;KDT;005;2852;2
277;KBO;7412;;1
1434;KPRF;0101;;2
1070;KPR;7912;;4
277;KBO;PH007;3651,1006;2
1875;KPS;7351;3268,243;5
437;KH1;7934;;2
3477;UTM;KX042;3758;11
355;KHV;PHK31;;8
3189;USE;KU001;1528;18
1070;KPR;7933;;2
573;CCV;PMV05;1077;15
7015;KECHT;4CHZ;8200,8515;8
1632;KSP;6SPPG;3647;2
171;KZP;4SBO2;;6
3203;KTV;73110;;3
2434;KV1;7150;3168;1
5139;KDT;FU053;597;1
1216;USE;KX018;3304;15
507;KAJ;7713;;4
289;KBO;7014;;1
573;KSSP;7119;336;1
433;KHV;PHK20;;12
1070;KPR;7917;;4
306;UTM;PY097;;2
370;KTV;7153;39;1
370;KTV;73310;929;3
1875;KPS;4198;3268,243,1086;1
2029;UTM;KD106;;3
3203;KTV;Q314;;3
355;KHV;PHK11;;4
384;KVV;7413;4700;1
370;KTV;Q319;40;3
370;KTV;Q3310;929;3
277;KBO;PHK07;3651,1006;3
1064;KECHT;5OCHT;429;2
355;KHV;PHK16;;15
8910;KVV;PH033;;2
143;KDT;FU005;6164;2
1505;UTM;BK040;3501;12
1050;KTV;Q3521;;7
640;KDT;FU018;9541;2
3153;KVV;7152;7547;2
8910;KVV;PH005;384,4700;1
3725;KF;FZ3K9;;10
355;KHV;PHK37;;10
